"화주
사업자번호",수출신고번호,HS 코드,품명,상품명세,"포장수
","포장
단위","수량
","수량
단위","순중량
","순중량
단위","총중량
","총중량
단위","FOB 금액
(USD)"
7335600301,43320-22-110248X,2710197120,Automotive oil for Engine,S-OIL 7 RED #9 SN 5W-40 (200), 2 ,DR, 2 ,DR, 341 ,KG, 377 ,KG, 506.18 
7335600301,43320-22-110248X,2710197120,Automotive oil for Engine,S-OIL 7 RED #9 SN 10W-40 (4x4), 300 ,BX," 1,200 ",BL," 4,128 ",KG," 4,380 ",KG," 6,147 "
7335600301,43320-22-110248X,2710197120,Automotive oil for Engine,S-OIL 7 RED #9 SN 10W-40 (200),4,DR,4,DR,688,KG,760,KG,964.56
7335600301,43320-22-110248X,2710197120,Automotive oil for Engine,S-OIL 7 GOLD #9 ECO C3 5W-30 ,16,BX,48,BL,204.96,KG,218.4,KG,412.64
7335600301,43320-22-110248X,2710197120,Automotive oil for Engine,S-OIL 7 4T RIDER #9 MA2 10W-40 (1x12),40,BX,480,BL,408.96,KG,448.32,KG,693.6
7335600301,43320-22-110248X,2710197900,Hydraulic Fluid,HYDRO FLUID AW 68 (200L DM),10,DR,10,DR,1748,KG,1928,KG,2256.9
7335600301,43320-22-110248X,2710197230,GEAR OIL,S-OIL 7 GEAR HD 80W-90 (1x12),20,BX,240,BL,213.6,KG,233.28,KG,370.6
7335600301,43320-22-110248X,2710197230,GEAR OIL,S-OIL 7 GEAR HD 80W-90 (20),15,PL,15,PL,267,KG,288.75,KG,426
7335600301,43320-22-110248X,2710197230,GEAR OIL,S-OIL 7 GEAR HD 85W-140 (200),5,DR,5,DR,900,KG,990,KG,1494.65
7335600301,43320-22-110248X,2710197330,Automotive transmission oil,S-OIL 7 ATF III (1x12),250,BX,3000,BL,2580,KG,2826,KG,4110
7335600301,43320-22-110248X,2710197330,Automotive transmission oil,S-OIL 7 ATF III (200),4,DR,4,DR,688,KG,760,KG,956.56
7335600301,43320-22-110248X,2710197330,Automotive transmission oil,S-OIL 7 ATF VI (1x12),200,BX,2400,BL,2030.4,KG,2227.2,KG,4474
7335600301,43320-22-110248X,2710197330,Automotive transmission oil,S-OIL 7 ATF VI (200),4,DR,4,DR,676.8,KG,748.8,KG,1351.16
